imdb_id,title,title_uk,year,imdb_rating,votes,country,region,language,theme,genres,basis,thriller_tag,decade,note,description,imdb_url
tt15097216,Jai Bhim,Джай Бгім,2021,8.6,235896,Індія,Індія,тамільська,Суд і журналістика,Crime; Drama; History; Mystery,реальна історія,,2020-ті,,"1993 рік, Тамілнад: чоловіка з племені іруларів Раджаканну забирають у поліцію за крадіжку, якої не було, а потім кажуть дружині, що він утік. Вагітна Сенґені йде до адвоката Чандру — реальної людини, згодом судді Високого суду Мадраса, — і той подає habeas corpus. Ґнанавел показує не так суд, як механіку зникнення: людей без виборчих карток і протоколи, куди можна вписати будь-що. Суря продюсував фільм і зіграв Чандру.",https://www.imdb.com/title/tt15097216/
tt9263550,Rocketry: The Nambi Effect,Ракетник: Ефект Намбі,2022,8.6,62529,Індія,Індія,"англ., тамільська",Наука і технології,Biography; Drama; History,реальна історія,,2020-ті,,"Намбі Нараянан керував розробкою рідинних двигунів ISRO і привіз до Індії французьку технологію, з якої виріс двигун Vikas, — аж поки 1994 року його не заарештували за звинуваченням у передачі секретів. CBI визнало справу сфабрикованою, а 2018-го Верховний суд присудив ученому компенсацію. Р. Мадгаван зняв фільм і сам зіграв Нараянана в усіх вікових шарах. Оповідь оформлена як телеінтерв'ю, яке в гінді-версії веде Шах Рух Хан, а в тамільській — Суря.",https://www.imdb.com/title/tt9263550/
tt0255289,Kaalapani,Чорні води,1996,8.5,5066,Індія,Індія,малаялам,Політика та історія,Action; Drama; History,"реальне тло, вигадані герої",,1990-ті,,"Молодого лікаря Ґовардхана несправедливо засуджують за участь у теракті й відправляють за «чорні води» — до тюрми, де в'язнів запрягають у млин замість волів. Ґовардхан вигаданий, натомість сама тюрма, її наглядач Баррі й голодування в'язнів 1930-х історичні. Прійадаршан зняв один із найдорожчих малаяламських фільмів; три Національні премії.",https://www.imdb.com/title/tt0255289/
tt0172495,Gladiator,Гладіатор,2000,8.5,1878622,США / Велика Британія,США,англ.,Політика та історія,Action; Adventure; Drama,"реальне тло, вигадані герої",,2000-ті,Обставини смерті Коммода та ідея повернення республіки — вигадка сценаристів.,"Полководець Максимус, вигаданий персонаж, після вбивства імператора стає рабом і повертається до Рима гладіатором. Марк Аврелій, Коммод і Луцилла реальні, але Коммода задушив атлет у лазні, а не боєць на арені, і жодної реставрації республіки він не планував. П'ять «Оскарів», зокрема за фільм і за роль Рассела Кроу.",https://www.imdb.com/title/tt0172495/
tt0253474,The Pianist,Піаніст,2002,8.5,1022058,Польща/Франція/Німеччина/Велика Британія,Європа,англ./нім.,Голокост,Biography; Drama; Music; War,реальна історія,,2000-ті,,"Владислав Шпільман, піаніст Польського радіо, пережив ліквідацію Варшавського гетто й до січня 1945-го переховувався в руїнах міста. Роман Поланський, який дитиною втік із краківського гетто, знімає без підйому: камера не відходить від Шпільмана й показує рівно те, що бачить він. Едрієн Броуді отримав «Оскар» за цю роль, фільм — Золоту пальмову гілку та ще дві статуетки. Німецький офіцер Вільм Гозенфельд, який його врятував, — реальна постать.",https://www.imdb.com/title/tt0253474/
tt1675434,The Intouchables,1+1 (Недоторканні),2011,8.5,1039156,Франція,Європа,фр.,Соціальна драма,Comedy; Drama,реальна історія,,2010-ті,,"Філіпп Поццо ді Борґо, спадкоємець виноробного дому, після аварії на параплані лишився паралізованим від шиї, а доглядальником узяв Абделя Селлу, який щойно вийшов із в'язниці. Олів'є Накаш та Ерік Толедано зробили з цього комедію про двох людей, яким удвох легше, ніж окремо: Франсуа Клюзе і Омар Сі, що отримав «Сезар». У Франції фільм подивилися понад 19 мільйонів глядачів. Головна вільність: Селлу — алжирець, а в кіно сенегалець, і за це стрічку дорікали.",https://www.imdb.com/title/tt1675434/
tt1853728,Django Unchained,Джанґо вільний,2012,8.5,1910559,США,США,англ.,Політика та історія,Drama; Western,"реальне тло, вигадані герої",,2010-ті,,"Тарантіно показує систему рабства: аукціони, ловців утікачів із псами, «мандінго»-бої, побутову ієрархію серед невільників і роль домашньої прислуги. Джанґо, доктор Кінг Шульц і Келвін Кенді вигадані, як і весь сюжет визволення Брумгільди. Два «Оскари» — Тарантіно за сценарій і Крістоф Вальц за роль. Інститут рабства відтворено, конкретних задокументованих подій у фільмі немає.",https://www.imdb.com/title/tt1853728/
tt10811166,The Kashmir Files,Кашмірські файли,2022,8.5,579687,Індія,Індія,гінді,Політика та історія,Drama; History,натхненний реальними подіями,,2020-ті,"Фільм звинувачують у пропагандистському викривленні: масштаби й обставини подій 1990 року подано з істотними перебільшеннями, історики та журналісти вказували на маніпуляції фактами й розпалювання ворожнечі.","На початку 1990-х із Кашмірської долини під погрозами бойовиків виїхали десятки тисяч індуїстів-пандитів; були вбивства, захоплені будинки, роки в наметових таборах. Вівек Аґніготрі будує фільм на свідченнях переселенців і на лінії студента, який дізнається правду про загибель рідних. Картина зібрала величезну касу в Індії і водночас стала однією з найсуперечливіших: історики й журналісти закидали їй перебільшені цифри та антимусульманську риторику, а голова журі фестивалю в Ґоа Надав Лапід назвав її пропагандою.",https://www.imdb.com/title/tt10811166/
tt20850406,Sita Ramam,«Сіта Рамам»,2022,8.5,85386,Індія,Індія,телугу,Війна,Action; Drama; History; Musical; Romance,"реальне тло, вигадані герої",,2020-ті,,"Ханну Раґхавапуді знімає епістолярний роман про лейтенанта індійської армії на кашмірському кордоні напередодні війни 1965-го. Сирота Рам отримує листи від незнайомої Сіти, а через двадцять років пакистанська студентка Аафрін мусить доставити його останній лист. У ролях Дульквер Салман і Мріналі Тхакур; фільм несподівано став хітом і в Індії, і в Пакистані. Війна, лінія припинення вогню й політичний фон реальні, всі герої — ні.",https://www.imdb.com/title/tt20850406/
tt0119385,Iruvar,Двоє,1997,8.4,9048,Індія,Індія,тамільська,Політика та історія,Biography; Drama; History,натхненний реальними подіями,,1990-ті,"Імена змінено, прототипи офіційно не визнані, окремі епізоди скомпоновано.","Мані Ратнам показав, як від 1950-х кіноактор і сценарист піднялися до керма штату Тамілнаду: Анандан списаний з М. Г. Рамачандрана, Таміжчелван — з М. Карунанідхі, а Кальпана — з Дж. Джаялаліти. Фільм простежує зрощення дравідійської політики з кіноіндустрією від знімальних майданчиків до виборів. Дебют Айшварії Рай, операторська робота Сантоша Сівана. Карунанідхі і Джаялаліта заперечували зв'язок стрічки зі своїм життям.",https://www.imdb.com/title/tt0119385/
tt0346336,The Best of Youth,Найкращі роки молодості,2003,8.4,28715,Італія,Європа,італ.,Політика та історія,Drama; History; Romance,"реальне тло, вигадані герої",,2000-ті,,"Брати Нікола і Маттео Каратті обирають різні шляхи — психіатрію і поліцію — і разом із ними глядач проходить тридцять чотири роки італійської історії. Родина вигадана, натомість закриття божевілень за законом Базальї, «Червоні бригади» і вибухи 1990-х подані як пережите зсередини. Шестигодинний телефільм став кінострічкою і взяв приз «Особливий погляд» у Каннах.",https://www.imdb.com/title/tt0346336/
tt0400234,Black Friday,Чорна п'ятниця,2004,8.4,26483,Індія,Індія,гінді,Кримінал,Action; Crime; Drama; History,реальна історія,,2000-ті,,"12 березня 1993 року в Бомбеї за дві години прогриміли тринадцять вибухів. Анураг Кашьяп екранізує репортажну книжку Хусейна Зайді й розкладає події на два боки: слідчого Ракеша Марію (Кей Кей Менон), який розмотує ланцюжок затримань, і виконавців, що розбігаються країною. Довга піша погоня вулицями трущоб стала візитівкою картини. Прем'єру заблокував Високий суд Бомбея — фільм пролежав до 2007-го, поки не завершився процес у справі.",https://www.imdb.com/title/tt0400234/
tt0405094,The Lives of Others,Життя інших,2006,8.4,446694,Німеччина,Європа,нім.,Політика та історія,Drama; Mystery; Thriller,"реальне тло, вигадані герої",так,2000-ті,,"Дія відбувається 1984 року в Східному Берліні, і побут Штазі — техніка прослуховування, звітність, практика «розкладання» незручних людей — відтворено з архівною точністю. Капітан Вислер, драматург Драйман і актриса Зіланд вигадані, як і сюжет про офіцера, що почав приховувати доноси. Дебют Флоріана Генкеля фон Доннерсмарка приніс «Оскар» за іншомовний фільм. Реальні тут інституція та методи, а не конкретна справа.",https://www.imdb.com/title/tt0405094/
tt4991384,Visaaranai,Допит,2015,8.4,15868,Індія,Індія,таміл.,Суд і журналістика,Crime; Drama; Thriller,реальна історія,так,2010-ті,,"М. Чандракумар, рикшар із Тамілнаду, описав у книжці «Lock Up», як поліція в Андхра-Прадеші затримала його з трьома земляками й тижнями вибивала зізнання у крадіжці, до якої вони не мали стосунку. Ветрімааран екранізує це буквально: перша половина — камера й побої, друга йде далі, у корупційні розрахунки, де ті самі люди стають розмінною монетою. Три Національні кінопремії Індії, приз Amnesty International у Венеції та висунення від Індії на «Оскар».",https://www.imdb.com/title/tt4991384/
tt7465992,Mahanati,Маханаті,2018,8.4,16764,Індія,Індія,"телугу, таміл.",Музика та мистецтво,Biography; Drama,реальна історія,,2010-ті,,"1980 рік, Савітрі лежить у комі, і двоє журналістів збирають матеріал про акторку, яка ще недавно була найвищеоплачуванішою зіркою телугу- й таміл-кіно. Наґ Ашвін через цю рамку відмотує життя: дитинство в Андхрі, знімальні майданчики 1950-х, шлюб із одруженим актором Джеміні Ґанесаном, алкоголь, борги. Кіртхі Суреш отримала за роль Національну кінопремію, Ґанесана зіграв Дулкер Салман. Родичі Ґанесана публічно сперечалися з тим, яким його показано.",https://www.imdb.com/title/tt7465992/
tt8267604,Capernaum,«Капернаум»,2018,8.4,126582,Ліван,Близький Схід і Африка,араб.,Соціальна драма,Drama,"реальне тло, вигадані герої",,2010-ті,"тло сучасне, а не історичне; епоха відтворена репортажно","Надін Лабакі два роки збирала матеріал у трущобах і в'язницях Бейрута, а тоді зняла історію з непрофесіоналами, чиї обставини були близькі до ролей. Дванадцятирічний Зейн подає до суду на батьків за те, що вони його народили, і тікає з дому, де опікується немовлям нелегальної мігрантки. Приз журі в Каннах, номінація на «Оскар». Персонажі й сюжет вигадані, середовище — задокументоване.",https://www.imdb.com/title/tt8267604/
tt9477520,Asuran,«Асуран»,2019,8.4,37717,Індія,Індія,тамільська,Соціальна драма,Action; Drama,"реальне тло, вигадані герої",,2010-ті,,"Ветрімааран екранізує роман Пумані «Веккай» і показує два віки далітської родини: молодість Сівасамі, коли землевласники спалювали хатини, і сучасність, де його син убиває кастового боса. Дхануш зіграв обидва вікові шари й отримав Національну кінопремію Індії. Земельні конфлікти, підпали й безкарність задокументовані істориками. Родина Сівасамі та конкретні вбивства вигадані, хоч і зібрані з реальних епізодів.",https://www.imdb.com/title/tt9477520/
tt11580854,Sarpatta Parambarai,«Сарпатта Парамбарай»,2021,8.4,28990,Індія,Індія,тамільська,Спорт,Action; Drama; History; Sport,"реальне тло, вигадані герої",,2020-ті,,"Па Ранджіт відновлює забуту традицію боксерських «парамбарай» — кланових шкіл Північного Мадраса, що змагалися на відкритих рингах, доки владу не запровадила заборони. Кабілан із далітської родини всупереч матері виходить на ринг за клан Сарпатта, поки за надзвичайного стану саджають комуністів і профспілкових активістів. Арія в головній ролі. Бокс і надзвичайний стан реальні, клани й боксери вигадані.",https://www.imdb.com/title/tt11580854/
tt31514146,I Swear,Клянуся,2025,8.4,59111,Велика Британія,Британія та Ірландія,англ.,Медицина та виживання,Biography; Drama; History,реальна історія,,2020-ті,,"Джон Девідсон із шотландського Ґалашилса почав неконтрольовано смикатися й вигукувати слова у дванадцять, а після документального фільму BBC «John's Not Mad» (1989) став найвідомішим у Британії голосом людей із синдромом Туретта. Кірк Джонс веде оповідь від 1983 року до 2020-х — через ліки, безробіття, орден Британської імперії та участь у дослідженні глибокої стимуляції мозку. Роберт Арамайо здобув за цю роль BAFTA за найкращу чоловічу роль.",https://www.imdb.com/title/tt31514146/
tt0110081,To Live,Жити,1994,8.3,22652,Китай,Східна Азія,кит.,Політика та історія,Drama; Romance; War,"реальне тло, вигадані герої",,1990-ті,,"Чжан Їмоу простежує сорок років життя Фуґуя, який програє родинний маєток у кості й саме тому уникає розстрілу як поміщик. Кампанії Мао входять у побут як фон: домна на подвір'ї, хунвейбіни, вигнані з лікарні лікарі. Ґе Йоу отримав приз Канн за чоловічу роль; у Китаї фільм заборонили, а режисерові на два роки закрили виїзд.",https://www.imdb.com/title/tt0110081/
tt0112573,Braveheart,Хоробре серце,1995,8.3,1171181,США,США,англ.,Війна,Action; Drama; History; War,натхненний реальними подіями,,1990-ті,"Один із найчастіше критикованих істориками фільмів: хронологія, костюми, битви й лінія з Ізабеллою Французькою суперечать джерелам.","Воллес розбив англійців біля Стерлінґ-Бриджа 1297 року, програв під Фолкерком 1298-го і був страчений у Лондоні 1305-го. Мел Гібсон поставив фільм і зіграв головну роль; п'ять «Оскарів», зокрема за найкращий фільм і режисуру. Історики нарахували десятки помилок: мосту в битві при Стерлінґ-Бриджі немає взагалі, кілти з'явилися на три століття пізніше, а роман Воллеса з Ізабеллою Французькою неможливий — на час його страти їй було близько десяти років.",https://www.imdb.com/title/tt0112573/
tt0312859,Kannathil Muthamittal,Поцілунок у щоку,2002,8.3,10893,Індія,Індія,таміл.,Війна,Action; Drama; Musical; War,"реальне тло, вигадані герої",,2000-ті,,"Дев'ятирічна Амуда дізнається, що її вдочерили, і батьки везуть її на охоплений війною острів шукати біологічну матір-повстанку. Родина вигадана, але табори біженців, мінування сіл і вербування до Тигрів визволення реальні. Мані Ратнам знімав поблизу зони бойових дій; шість Національних премій Індії. Музику написав А. Р. Рахман, постійний співавтор режисера.",https://www.imdb.com/title/tt0312859/
tt1255953,Incendies,Пожежі,2010,8.3,258474,Канада,Інше,"франц., араб.",Війна,Drama; Mystery; War,"реальне тло, вигадані герої",,2010-ті,"Країну прямо не названо, хоча тло впізнавано ліванське.","Дені Вільньов екранізує п'єсу Важді Муавада: розстріл автобуса, християнські міліції, табори біженців і в'язниця для політв'язнів — усе впізнавано ліванське, хоча країну не назвали. Наваль Марван, її діти-близнюки й кат Абу Тарек вигадані. Знімали в Йорданії; номінація на «Оскар» і міжнародний прорив Вільньова. Тюрма має прототип у Хіямі, конкретні долі — ні.",https://www.imdb.com/title/tt1255953/
tt5074352,Dangal,Дангал,2016,8.3,247148,Індія,Індія,гінді,Спорт,Action; Biography; Drama; Sport,реальна історія,,2010-ті,,"Махавір Сінгх Пхогат, колишній борець із гар'янського села Балалі, вирішує тренувати доньок так, як тренував би синів, — попри те, що дівчат у боротьбі там просто не існувало. Нітеш Тіварі веде історію від перших ранкових пробіжок до фіналу Ігор Співдружності 2010 року в Делі, де Ґіта здобула золото. Амір Хан набрав близько тридцяти кілограмів, щоб зіграти батька в старшому віці. Тренер-антагоніст — вигадка сценаристів, проти якої публічно заперечував реальний наставник сестер.",https://www.imdb.com/title/tt5074352/
tt10280296,Sardar Udham,Сардар Удхам,2021,8.3,51210,Індія,Індія,гінді,Політика та історія,Crime; Drama; History,реальна історія,,2020-ті,,"13 березня 1940 року Удхам Сінгх застрелив у лондонському Кекстон-холі Майкла О'Двайєра — губернатора Пенджабу, який схвалив розстріл у Джалліанвала-Баг 1919 року. Шуджіт Сіркар розповідає нелінійно, через допити й спогади, а сама різанина показана аж наприкінці — довгою нічною сценою серед поранених. Вікі Каушал грає Сінгха мовчазним і виснаженим; фільм не висунули від Індії на «Оскар», і в пресі писали, що журі не влаштувала його антибританська різкість.",https://www.imdb.com/title/tt10280296/
tt10295212,Shershaah,Шершах,2021,8.3,137311,Індія,Індія,гінді,Війна,Action; Biography; Drama; Thriller; War,реальна історія,так,2020-ті,,"Каргіл, літо 1999-го: капітан Вікрам Батра бере висоту 5140, передає в ефір «Yeh Dil Maange More» і гине 7 липня при штурмі точки 4875, яку згодом назвуть Batra Top. Вішнувардхан веде лінію від академії в Дехрадуні через стосунки з Дімпл Чімою до останнього бою. Сіддхарт Малхотра грає і Вікрама, і його брата-близнюка Вішала. Родина Батри консультувала зйомки, а сам фільм через пандемію вийшов одразу на стримінгу.",https://www.imdb.com/title/tt10295212/
tt11423818,Pawankhind,Паванхінд,2022,8.3,8354,Індія,Індія,маратхі,Війна,Action; Drama; History; War,реальна історія,,2020-ті,,"Липень 1660-го: Шіваджі з невеликим загоном вирвався з облоги форту Панхала й пробивається до Вішалґада, а Баджі Прабху Дешпанде з приблизно трьомастами воїнами замикає гірський прохід Ґходкхінд, щоб затримати військо Сідді Джохара. Дігпал Ланджекар знімає майже все як один розтягнутий бій: вузький прохід, дощ, лічені години. Аджай Пуркар грає Баджі Прабху без сучасних психологічних надбудов, у регістрі усного переказу. Після битви ущелину перейменували на Паван-Хінд; фільм став одним із найкасовіших маратхі.",https://www.imdb.com/title/tt11423818/
tt9006564,2018,2018,2023,8.3,17017,Індія,Індія,малаялам,Катастрофа і виживання,Action; Adventure; Drama; Thriller,натхненний реальними подіями,так,2020-ті,,"За кілька серпневих днів 2018-го в Кералі випала злива століття, водосховища довелося відкрити одночасно, і під водою опинилися сотні сіл. Джуд Ентоні Джозеф збирає з десятка вигаданих доль одну картину катастрофи, а головними героями робить рибалок, які пригнали свої човни з узбережжя в затоплені райони. На момент виходу — найкасовіший малаяламський фільм і офіційна заявка Індії на «Оскар». Персонажі збірні, самі рятувальні операції задокументовані.",https://www.imdb.com/title/tt9006564/
tt0100234,Close-Up,Крупний план,1990,8.2,27346,Іран,Близький Схід і Африка,перс.,Суд і журналістика,Biography; Crime; Drama,реальна історія,,1990-ті,,"1989 року безробітний друкар Хосейн Сабзіан кілька тижнів видавав себе за режисера Мохсена Махмальбафа перед тегеранською родиною Аханхах, обіцяючи зняти їх у кіно; його заарештували за шахрайство. Аббас Кіаростамі зняв справжній судовий процес і попросив усіх учасників — Сабзіана, Аханхахів, журналіста Фаразманда й самого Махмальбафа — переграти події перед камерою. Межа між документом і постановкою зникає остаточно. Фінальна зустріч двох чоловіків на мотоциклі стала класикою іранського кіно.",https://www.imdb.com/title/tt0100234/
tt0101985,A Brighter Summer Day,Яскравий літній день,1991,8.2,15365,Тайвань,Східна Азія,"кит. (мандарин, тайв.)",Кримінал,Crime; Drama; Romance,реальна історія,,1990-ті,"Імена учасників змінені, а більшість персонажів навколо вбивства — художня реконструкція середовища, а не документальні постаті.","У червні 1961 року в Тайбеї підліток зарізав свою однолітку — це стало першим убивством, скоєним неповнолітнім у повоєнному Тайвані. Едвард Ян навчався в тій самій школі й через тридцять років розгорнув справу в майже чотиригодинну фреску про дітей материкових біженців, вуличні банди та задуху воєнного стану Гоміньдану. Дебютна роль чотирнадцятирічного Чан Чженя. Хроніку злочину відтворено близько до справи, але імена й побутові деталі змінені.",https://www.imdb.com/title/tt0101985/
tt0112641,Casino,Казино,1995,8.2,627231,США,США,англ.,Кримінал,Crime; Drama,реальна історія,,1990-ті,"Сцену розправи над братами Спілотро знято за ранньою версією; свідчення на процесі 2007 року показали, що їх убили в підвалі, а вже потім закопали.","Скорсезе екранізував документальну книжку Ніколаса Пілледжі: Сем Ротстін — це Розенталь, який тримав «Stardust», Ніккі Санторо — бойовик Ентоні Спілотро, Джинджер — Джері Макджі. Показано і вибух автомобіля 1982 року, який Розенталь пережив, і те, як чиказька верхівка втратила контроль над касою. Роберт Де Ніро, Джо Пеші, Шерон Стоун із номінацією на «Оскар». Імена змінено, деякі епізоди спресовано.",https://www.imdb.com/title/tt0112641/
tt0245929,Devils on the Doorstep,Дияволи на порозі,2000,8.2,9462,Китай,Східна Азія,кит. / яп.,Війна,Comedy; Drama; War,"реальне тло, вигадані герої",,2000-ті,У материковому Китаї фільм так і не вийшов у широкий прокат.,"Селянинові Ма Дасаню підкидають двох полонених — японського солдата й перекладача — і наказують стерегти до весни. Село й мешканці вигадані, але каральна логіка окупації та фінальна різанина спираються на задокументовані практики. Цзян Вень зняв фільм чорно-білим, вивіз до Канн без дозволу цензури, отримав Гран-прі й п'ять років заборони знімати.",https://www.imdb.com/title/tt0245929/
